"unitid","name","city","state","level","control","Undergraduate Program","Graduate Program","Enrollment Profile","Undergraduate Profile","Size & Setting","Basic","Community Engagement","135 results for  Basic = 'Doctoral Universities'"
"195049","Rockefeller University","New York","NY","4-year or above","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral: Single program-Other","Exclusively graduate","(Not classified)","Exclusively graduate/professional","Doctoral Universities: High Research Activity",""
"184782","Rowan University","Glassboro","NJ","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"186371","Rutgers University-Camden","Camden","NJ","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"186399","Rutgers University-Newark","Newark","NJ","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"179159","Saint Louis University","Saint Louis","MO","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"122409","San Diego State University","San Diego","CA","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"186584","Seton Hall University","South Orange","NJ","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"219356","South Dakota State University","Brookings","SD","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"149222","Southern Illinois University-Carbondale","Carbondale","IL","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"228246","Southern Methodist University","Dallas","TX","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"186867","Stevens Institute of Technology","Hoboken","NJ","4-year or above","Private not-for-profit","Professions focus, high graduate coexistence","Research Doctoral: STEM-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"196103","SUNY College of Environmental Science and Forestry","Syracuse","NY","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, small, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"196468","Teachers College at Columbia University","New York","NY","4-year or above","Private not-for-profit","Not Classified (Exclusively Graduate Programs)","Research Doctoral: Professional-dominant","Exclusively graduate","(Not classified)","Exclusively graduate/professional","Doctoral Universities: High Research Activity",""
"221838","Tennessee State University","Nashville","TN","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"221847","Tennessee Technological University","Cookeville","TN","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"224147","Texas A & M University-Corpus Christi","Corpus Christi","TX","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"228705","Texas A & M University-Kingsville","Kingsville","TX","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"228875","Texas Christian University","Fort Worth","TX","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"229063","Texas Southern University","Houston","TX","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"228459","Texas State University","San Marcos","TX","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"193654","The New School","New York","NY","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"180489","The University of Montana","Missoula","MT","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"229027","The University of Texas at San Antonio","San Antonio","TX","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"227368","The University of Texas Rio Grande Valley","Edinburg","TX","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, medium full-time, inclusive, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"200800","University of Akron Main Campus","Akron","OH","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"100706","University of Alabama in Huntsville","Huntsville","AL","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity",""
"102614","University of Alaska Fairbanks","Fairbanks","AK","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, higher part-time","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"106245","University of Arkansas at Little Rock","Little Rock","AR","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"445188","University of California-Merced","Merced","CA","4-year or above","Public","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"126580","University of Colorado Colorado Springs","Colorado Springs","CO","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"202480","University of Dayton","Dayton","OH","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"127060","University of Denver","Denver","CO","4-year or above","Private not-for-profit","Arts & sciences plus professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"142285","University of Idaho","Moscow","ID","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"160658","University of Louisiana at Lafayette","Lafayette","LA","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","Very high undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"161253","University of Maine","Orono","ME","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"163338","University of Maryland Eastern Shore","Princess Anne","MD","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, inclusive, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"163268","University of Maryland-Baltimore County","Baltimore","MD","4-year or above","Public","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"166638","University of Massachusetts-Boston","Boston","MA","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"167987","University of Massachusetts-Dartmouth","North Dartmouth","MA","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"166513","University of Massachusetts-Lowell","Lowell","MA","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"220862","University of Memphis","Memphis","TN","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"178402","University of Missouri-Kansas City","Kansas City","MO","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"178420","University of Missouri-St Louis","Saint Louis","MO","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, medium, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"181394","University of Nebraska at Omaha","Omaha","NE","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"161457","University of New England","Biddeford","ME","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Single program-Education","Majority graduate","Four-year, full-time, selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"159939","University of New Orleans","New Orleans","LA","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"199139","University of North Carolina at Charlotte","Charlotte","NC","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"199148","University of North Carolina at Greensboro","Greensboro","NC","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"199218","University of North Carolina Wilmington","Wilmington","NC","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Very high undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"200280","University of North Dakota","Grand Forks","ND","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"243221","University of Puerto Rico-Rio Piedras","San Juan","PR","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"217484","University of Rhode Island","Kingston","RI","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, lower transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"122436","University of San Diego","San Diego","CA","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"102094","University of South Alabama","Mobile","AL","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Majority undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"219471","University of South Dakota","Vermillion","SD","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"206084","University of Toledo","Toledo","OH","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"207971","University of Tulsa","Tulsa","OK","4-year or above","Private not-for-profit","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
"231174","University of Vermont","Burlington","VT","4-year or above","Public","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, large, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"240727","University of Wyoming","Laramie","WY","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity",""
"230728","Utah State University","Logan","UT","4-year or above","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Very high undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"216597","Villanova University","Villanova","PA","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Humanities/social sciences-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"199847","Wake Forest University","Winston-Salem","NC","4-year or above","Private not-for-profit","Arts & sciences plus professions, some graduate coexistence","Research Doctoral: STEM-dominant","Majority undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"172699","Western Michigan University","Kalamazoo","MI","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"156125","Wichita State University","Wichita","KS","4-year or above","Public","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, medium full-time , selective, higher transfer-in","Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity",""
"168421","Worcester Polytechnic Institute","Worcester","MA","4-year or above","Private not-for-profit","Professions plus arts & sciences, high graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, primarily residential","Doctoral Universities: High Research Activity",""
"206604","Wright State University-Main Campus","Dayton","OH","4-year or above","Public","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: STEM-dominant","High undergraduate","Four-year, full-time, selective, higher transfer-in","Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Classified or reclassified in 2010 or 2015 through the New England Resource Center for Higher Education"
"197708","Yeshiva University","New York","NY","4-year or above","Private not-for-profit","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Majority graduate","Four-year, full-time, more selective, lower transfer-in","Four-year, medium, highly residential","Doctoral Universities: High Research Activity",""
